00	rryyss	00 - 00 - 00	00	00	00	White
01	rryySs	00 - 00 - 01	00	00	01	White
03	rryySS	00 - 00 - 11	00	00	11	White
04	rrYyss	00 - 01 - 00	00	01	00	Yellow
05	rrYySs	00 - 01 - 01	00	01	01	Yellow
07	rrYySS	00 - 01 - 11	00	01	11	White
0c	rrYYss	00 - 11 - 00	00	11	00	Yellow
0d	rrYYSs	00 - 11 - 01	00	11	01	Yellow
0f	rrYYSS	00 - 11 - 11	00	11	11	Yellow
10	Rryyss	01 - 00 - 00	01	00	00	Red
11	RryySs	01 - 00 - 01	01	00	01	Pink
13	RryySS	01 - 00 - 11	01	00	11	White
14	RrYyss	01 - 01 - 00	01	01	00	Orange
15	RrYySs	01 - 01 - 01	01	01	01	Yellow
17	RrYySS	01 - 01 - 11	01	01	11	Yellow
1c	RrYYss	01 - 11 - 00	01	11	00	Orange
1d	RrYYSs	01 - 11 - 01	01	11	01	Yellow
1f	RrYYSS	01 - 11 - 11	01	11	11	Yellow
30	RRyyss	11 - 00 - 00	11	00	00	Black
31	RRyySs	11 - 00 - 01	11	00	01	Red
33	RRyySS	11 - 00 - 11	11	00	11	Red
34	RRYyss	11 - 01 - 00	11	01	00	Black
35	RRYySs	11 - 01 - 01	11	01	01	Red
37	RRYySS	11 - 01 - 11	11	01	11	Red
3c	RRYYss	11 - 11 - 00	11	11	00	Purple
3d	RRYYSs	11 - 11 - 01	11	11	01	Purple
3f	RRYYSS	11 - 11 - 11	11	11	11	Purple
