00	rrooWW	00 - 00 - 00	00	00	00	White
01	rrooWw	00 - 00 - 01	00	00	01	White
03	rrooww	00 - 00 - 11	00	00	11	Blue
04	rrOoWW	00 - 01 - 00	00	01	00	Orange
05	rrOoWw	00 - 01 - 01	00	01	01	Orange
07	rrOoww	00 - 01 - 11	00	01	11	Blue
0c	rrOOWW	00 - 11 - 00	00	11	00	Orange
0d	rrOOWw	00 - 11 - 01	00	11	01	Orange
0f	rrOOww	00 - 11 - 11	00	11	11	Orange
10	RrooWW	01 - 00 - 00	01	00	00	Red
11	RrooWw	01 - 00 - 01	01	00	01	Red
13	Rrooww	01 - 00 - 11	01	00	11	Blue
14	RrOoWW	01 - 01 - 00	01	01	00	Pink
15	RrOoWw	01 - 01 - 01	01	01	01	Pink
17	RrOoww	01 - 01 - 11	01	01	11	Pink
1c	RrOOWW	01 - 11 - 00	01	11	00	Orange
1d	RrOOWw	01 - 11 - 01	01	11	01	Orange
1f	RrOOww	01 - 11 - 11	01	11	11	Orange
30	RRooWW	11 - 00 - 00	11	00	00	Red
31	RRooWw	11 - 00 - 01	11	00	01	Red
33	RRooww	11 - 00 - 11	11	00	11	Purple
34	RROoWW	11 - 01 - 00	11	01	00	Red
35	RROoWw	11 - 01 - 01	11	01	01	Red
37	RROoww	11 - 01 - 11	11	01	11	Purple
3c	RROOWW	11 - 11 - 00	11	11	00	Pink
3d	RROOWw	11 - 11 - 01	11	11	01	Pink
3f	RROOww	11 - 11 - 11	11	11	11	Purple
